"","treated","age","education","black","married","nodegree","re74","re75","re78","hispanic","u74","u75","q1"
"15993",1,33,12,0,1,0,0,0,12418.0703125,1,1,1,"disagree"
"15994",1,20,12,0,1,0,8644.15625,8644.15625,11656.505859375,0,0,0,"strongly agree"
"15995",0,39,12,1,1,0,19785.3203125,6608.13720703125,499.257202148438,0,0,0,"neutral"
"15996",1,49,8,0,1,1,9714.5966796875,7285.94775390625,16717.12109375,0,0,0,"no opinion"
"15997",0,26,8,0,1,1,37211.7578125,36941.265625,30247.5,0,0,0,"no opinion"
"15998",0,38,10,1,1,1,14759.0634765625,14701.947265625,4393.52294921875,0,0,0,"strongly disagree"
"15999",0,28,12,0,0,0,0,803.343017578125,16477.01953125,0,1,0,"agree"
"16000",0,27,12,1,1,0,0,752.390075683594,0,0,1,0,"no opinion"
"16001",1,33,12,1,1,0,20279.94921875,10941.349609375,15952.599609375,0,0,0,"agree"
"16002",0,44,9,1,1,1,12260.7802734375,10857.240234375,12359.3095703125,0,0,0,"neutral"
"16003",0,28,10,0,1,1,5440.818359375,3928.82715126701,6793.0771484375,0,0,0,"no opinion"
"16004",0,31,12,0,0,0,0,494.643005371094,0,0,1,0,"neutral"
"16005",0,24,12,0,1,0,28262.130859375,24294.74609375,665.737426757812,0,0,0,"strongly agree"
"16006",0,29,12,0,0,0,12116.611328125,12205.142578125,16328.9638671875,0,0,0,"agree"
"16007",0,20,11,0,1,1,7254.419921875,8159.5068359375,6336.78271484375,0,0,0,"strongly disagree"
"16008",0,22,10,0,1,1,25720.919921875,23031.98046875,5448.80078125,0,0,0,"no opinion"
"16009",1,35,9,1,1,1,13602.4296875,13830.6396484375,12803.9697265625,0,0,0,"disagree"
"16010",1,42,9,1,1,1,0,3058.53100585938,1294.40905761719,0,1,0,"strongly disagree"
"16011",1,21,13,0,0,0,9978.7509765625,8616.8525390625,99.5700149536133,0,0,0,"disagree"
"16012",1,23,12,0,0,0,5204.259765625,3903.19482421875,796.559692382812,0,0,0,"no opinion"
"16013",0,18,12,0,0,0,735.205078125,735.205078125,2502.52587890625,0,0,0,"no opinion"
"16014",1,22,12,0,0,0,6759.994140625,8455.50390625,12590.7099609375,0,0,0,"strongly agree"
"16015",0,20,12,0,0,0,4139.75341796875,3104.81518554688,12573.9658203125,0,0,0,"agree"
"16016",0,22,12,1,1,0,9420.671875,9352.19921875,8072.181640625,0,0,0,"no opinion"
"16017",0,35,11,1,1,1,7096.7158203125,8720.9052734375,0,0,0,0,"agree"
"16018",1,23.9610968200932,13,0,1,0,9381.56640625,853.722473144531,0,0,0,0,"strongly agree"
"16019",0,41,12,1,0,0,10707.1611328125,9818.466796875,0,0,0,0,"agree"
"16020",0,30,11,1,1,1,0,9311.9384765625,3982.80102539062,0,1,0,"agree"
"16021",1,22,12,0,1,0,492.230499267578,7055.7021484375,10092.830078125,1,0,0,"disagree"
"16022",1,27,12,1,1,0,10408.515625,7806.38671875,2777.58520507812,0,0,0,"strongly disagree"
"16023",1,42,14,1,1,0,0,0,13167.51953125,0,1,1,"no opinion"
"16024",0,27,10,1,1,1,13542.26953125,11280.7109375,0,0,0,0,"no opinion"
"16025",1,41,14,0,0,0,0,0,5149.5009765625,0,1,1,"strongly agree"
"16026",0,50,8,1,1,1,7506.73388671875,5630.05029296875,8997.193359375,0,0,0,"strongly agree"
"16027",1,26,10,1,1,1,9773.953125,8141.703125,4635.66015625,0,1,0,"strongly disagree"
"16028",0,25,10,1,1,1,12428.1220703125,11696.3720703125,11127.2802734375,0,0,0,"neutral"
"16029",1,35,8,1,1,1,13732.0703125,17976.150390625,3786.6279296875,0,0,0,"strongly agree"
"16030",0,25,9,1,1,1,24731.619140625,16946.630859375,7343.9638671875,0,0,0,"disagree"
"16031",1,33,11,1,1,1,14660.7099609375,25142.240234375,4181.94189453125,0,0,0,"disagree"
"16032",0,28,12,1,1,0,0,0,0,0,1,1,"disagree"
"16033",0,27,11,1,1,1,20249.224609375,20035.255859375,9074.763671875,0,0,0,"strongly disagree"
"16034",1,46,8,1,1,1,0,0,3094.15600585938,0,1,1,"neutral"
"16035",0,30,14,1,1,0,0,0,7344.67822265625,0,1,1,"neutral"
"16036",1,19,10,0,0,1,0,5324.10888671875,13829.6201171875,0,1,0,"neutral"
"16037",0,34,13,1,1,0,0,0,5193.2470703125,0,1,1,"strongly disagree"
"16038",1,26,11,0,0,1,0,2226.26611328125,13385.8603515625,0,1,0,"strongly disagree"
"16039",0,30,11,1,1,1,24286.5078125,24105.38671875,7263.02490234375,0,0,0,"disagree"
"16040",0,36,12,1,0,0,0,142.397293090820,0,0,1,0,"neutral"
"16041",1,45,5,1,1,1,0,71.2897486307029,8546.71484375,0,1,1,"disagree"
"16042",1,27.3000909338302,10,1,1,1,0,936.438598632812,11233.259765625,0,1,0,"no opinion"
"16043",0,39,12,1,1,0,0,0,3795.79907226562,0,1,1,"strongly disagree"
"16044",0,23,9,1,1,1,19047.07421875,19289.8515625,7600.1044921875,0,0,0,"neutral"
"16045",0,27,11,1,1,1,0,4491.8837890625,0,0,1,0,"strongly agree"
"16046",1,38,12,0,0,0,0,0,4941.84912109375,0,1,1,"strongly disagree"
"16047",0,24,11,0,0,1,2669.72509765625,1468.38305664062,10361.6904296875,0,0,0,"agree"
"16048",1,26,11,1,1,1,0,1392.85302734375,1460.35998535156,0,1,0,"disagree"
"16049",1,29,14,1,0,0,0,679.673400878906,17814.98046875,0,1,0,"strongly disagree"
"16050",1,27,11,1,1,1,2336.11401367188,2142.21655273438,2186.18920898438,0,0,0,"strongly agree"
"16051",0,55,3,1,0,1,0,0,5843.7958984375,0,1,1,"no opinion"
"16052",0,20,11,0,0,1,1413.10668945312,1177.11791992188,8743.0703125,0,0,0,"neutral"
"16053",0,54,11,1,0,1,0,0,7812.52197265625,0,1,1,"agree"
"16054",0,36,12,0,0,0,13661.177734375,11491.9521484375,4978.50048828125,1,0,0,"strongly disagree"
"16055",0,23,10,1,1,1,0,0,0,0,1,1,"neutral"
"16056",0,28,11,0,0,1,2787.76123046875,3200.91186523438,7645.0546875,0,0,0,"disagree"
"16057",0,32,12,0,1,0,0,0,6735.31982421875,1,1,1,"strongly agree"
"16058",0,32,12,1,0,0,13283.171875,12419.1845703125,10673.697265625,0,0,0,"neutral"
"16059",0,18,9,0,0,1,0,559.596008300781,7300.498046875,0,1,0,"strongly agree"
"16060",1,26,11,0,0,1,22893.87109375,22959.76171875,2746.61401367188,0,0,0,"strongly agree"
"16061",1,28,11,1,1,1,6702.451171875,6952.57958984375,7318.18603515625,0,0,0,"strongly agree"
"16062",0,28,11,1,1,1,824.388916015625,10033.91015625,0,0,0,0,"neutral"
"16063",1,26,12,1,0,0,8811.7373046875,6608.80322265625,5811.76513671875,0,0,0,"strongly agree"
"16064",0,31,13,1,0,0,10255.5361328125,10393.61328125,7404.76220703125,0,0,0,"agree"
"16065",0,28,9,1,1,1,10222.41015625,9210.447265625,1239.84399414062,0,0,0,"strongly agree"
"16066",1,24,12,1,0,0,11972.125,12982.3408203125,0,0,0,0,"strongly disagree"
"16067",1,46,13,1,0,0,0,0,647.20458984375,0,1,1,"neutral"
"16068",1,18,10,1,1,1,785.059020996094,1958.09631347656,10989.927734375,0,0,0,"disagree"
"16069",0,26,11,1,1,1,0,4184.73193359375,0,0,1,0,"neutral"
"16070",1,26,11,1,1,1,0,2754.64599609375,26372.279296875,0,1,0,"agree"
"16071",0,22,12,1,0,0,4380.01708984375,2003.68005371094,439.688110351562,0,0,0,"neutral"
"16072",1,41,9,1,1,1,7864.9072265625,7212.1201171875,3154.71997070312,0,0,0,"strongly disagree"
"16073",0,22,10,0,0,1,27864.359375,10598.669921875,7094.919921875,0,0,0,"disagree"
"16074",0,19,10,0,0,1,0,0,3194.01000976562,0,1,1,"strongly agree"
"16075",0,25,11,1,1,1,2336.11401367188,3266.40576171875,479.267700195312,0,0,0,"neutral"
"16076",0,29,13,1,0,0,718.249206542969,2265.5791015625,2725.32202148438,0,0,0,"strongly agree"
"16077",0,21,9,0,0,1,2988.412109375,1577.1669921875,1740.19897460938,0,0,0,"strongly disagree"
"16078",1,24,11,1,1,1,824.388610839844,1666.11303710938,4032.7080078125,0,0,0,"neutral"
"16079",1,29,12,1,0,0,9748.38671875,4878.93701171875,10976.509765625,0,0,0,"no opinion"
"16080",0,29,12,1,0,0,0,1359.34655761719,132.759994506836,0,1,0,"no opinion"
"16081",1,19,8,0,0,1,4101.92919921875,3416.90698242188,9251.3564453125,0,0,0,"no opinion"
"16082",0,25,9,1,1,1,0,0,4715.37109375,0,1,1,"disagree"
"16083",1,31,9,1,0,1,0,1698.60705566406,10363.26953125,0,1,0,"strongly disagree"
"16084",0,28,13,1,0,0,0,0,0,0,1,1,"agree"
"16085",1,21,11,1,1,1,3523.63696289062,4167.998046875,11300.23828125,0,0,0,"neutral"
"16086",0,21,10,1,1,1,1946.76098632812,1785.17980957031,6831.10546875,0,0,0,"agree"
"16087",0,27,12,0,0,0,0,0,14792.900390625,0,1,1,"disagree"
"16088",1,27,12,1,0,0,1971.31030273438,4310.455078125,0,0,0,0,"disagree"
"16089",0,26,12,0,0,0,0,0,12383.6796875,0,1,1,"strongly agree"
"16090",1,31,13,0,0,0,5996.01904296875,5498.349609375,8521.93184815089,0,0,0,"strongly disagree"
"16091",1,24,15,1,0,0,12813.505859375,13008.4970703125,14683.62890625,0,0,0,"neutral"
"16092",1,23,8,0,1,1,0,1713.15002441406,4232.30908203125,0,1,0,"agree"
"16093",0,28,12,1,1,0,10585.1298828125,5551.4560546875,12780.01953125,0,0,0,"agree"
"16094",1,31,12,0,0,0,0,2611.21801757812,2484.54907226562,0,1,0,"disagree"
"16095",1,26,12,1,0,0,1051.25085449219,1088.90698242188,11460.5634765625,0,0,0,"neutral"
"16096",1,25,13,1,0,0,12362.9296875,3090.73193359375,0,0,0,0,"no opinion"
"16097",0,26,14,1,1,0,2025.56628417969,2025.56628417969,0,0,0,0,"neutral"
"16098",0,33,9,0,1,1,0,0,0,1,1,1,"no opinion"
"16099",1,24,12,0,1,0,7864.89697265625,7212.1103515625,6485.50830078125,1,0,0,"no opinion"
"16100",0,21,14,1,0,0,6463.24365234375,5926.79443359375,29408.037109375,0,0,0,"agree"
"16101",1,26,12,1,1,0,8408.76171875,5794.8310546875,1424.94396972656,0,0,0,"neutral"
"16102",0,24,12,1,0,0,0,159.884704589844,0,0,1,0,"strongly disagree"
"16103",0,24,12,1,0,0,4739.03076171875,8100.533203125,11235.10546875,0,0,0,"no opinion"
"16104",1,25,12,0,0,0,0,0,5587.5029296875,0,1,1,"disagree"
"16105",1,42,14,1,0,0,0,0,20505.9296875,0,1,1,"strongly disagree"
"16106",1,18,12,1,0,0,562.657043457031,562.657043457031,0,0,0,0,"no opinion"
"16107",0,25,12,1,1,0,0,0,0,0,1,1,"strongly agree"
"16108",1,21,12,1,0,0,6473.68310546875,3332.40893554688,9371.037109375,0,0,0,"strongly disagree"
"16109",0,20,12,1,0,0,7182.4921875,6004.72802734375,4779.72021484375,0,0,0,"agree"
"16110",1,20,12,1,0,0,0,0,0,0,1,1,"no opinion"
"16111",0,20,12,1,0,0,557.698791503906,1371.47302246094,20893.109375,0,0,0,"agree"
"16112",0,19,11,0,1,1,308.21923828125,308.21923828125,0,1,0,0,"neutral"
"16113",1,23,12,1,1,0,0,0,5911.55078125,0,1,1,"agree"
"16114",0,26,12,1,1,0,0,0,6191.94287109375,0,1,1,"disagree"
"16115",1,31,11,1,1,1,647.687999685941,0,14509.9296875,0,1,1,"disagree"
"16116",0,27,13,0,0,0,5214.30615234375,474.501800537109,4812.576171875,0,0,0,"disagree"
"16117",1,41,4,1,1,1,0,0,7284.98583984375,0,1,1,"neutral"
"16118",0,27,12,0,0,0,6044.951171875,5035.4443359375,0,0,0,0,"no opinion"
"16119",0,26,13,0,0,0,6476.73291015625,5395.11865234375,9766.2001953125,0,0,0,"strongly disagree"
"16120",0,39,11,1,0,1,0,83.6896362304688,0,0,1,0,"strongly disagree"
"16121",1,30,11,1,1,1,0,0,590.781799316406,0,1,1,"strongly disagree"
"16122",0,28,12,1,1,0,31634.794921875,29009.107421875,10067.4345703125,0,0,0,"strongly agree"
"16123",1,21,12,0,0,0,0,0,8048.60302734375,0,1,1,"agree"
"16124",1,23,12,0,0,0,9385.740234375,1117.43896484375,559.443176269531,1,0,0,"no opinion"
"16125",1,27,12,1,1,0,3670.8720703125,334.049285888672,0,0,0,0,"strongly agree"
